study_label_in_SI,ris_index,year,first_author,title,journal,doi,all_authors
(Liu_Huang 2022),32,2022,"Liu, S.",Investigation of the adsorption behavior of Pb(II) onto natural-aged microplastics as affected by salt ions,Journal of Hazardous Materials,10.1016/j.jhazmat.2022.128643,"Liu, S.; Huang, J.; Zhang, W.; Shi, L.; Yi, K.; Zhang, C.; Pang, H.; Li, J.; Li, S."
(Liu_Zhang 2022),31,2022,"Liu, Y.",The influence of Pb(II) adsorption on (Non) biodegradable microplastics by UV/O3oxidation treatment,Journal of Environmental Chemical Engineering,10.1016/j.jece.2022.108615,"Liu, Y.; Zhang, J.; Cao, W.; Hu, Y.; Shen, W."
"(Mao et al., 2020)",30,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.122515,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X."
"(Muthuraja et al., 2024)",29,2024,"Muthuraja, R.",Effects of particle size and aging on heavy metal adsorption by polypropylene and polystyrene microplastics under varying environmental conditions,Chemosphere,10.1016/j.chemosphere.2024.143843,"Muthuraja, R.; Ou, B.; Thangavelu, M.; Narhayanan, T. N.; Chittamart, N.; Janjaroen, D."
"(Nguyen et al., 2022)",28,2022,"Nguyen, T. B.",Adsorption of lead(II) onto PE microplastics as a function of particle size: Influencing factors and adsorption mechanism,Chemosphere,10.1016/j.chemosphere.2022.135276,"Nguyen, T. B.; Ho, T. B. C.; Huang, C. P.; Chen, C. W.; Chen, W. H.; Hsieh, S.; Hsieh, S. L.; Dong, C. D."
"(Qi et al., 2021)",27,2021,"Qi, K.",Uptake of Pb(II) onto microplastic-associated biofilms in freshwater: Adsorption and combined toxicity in comparison to natural solid substrates,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.125115,"Qi, K.; Lu, N.; Zhang, S.; Wang, W.; Wang, Z.; Guan, J."
"(Qiongjie et al., 2022)",26,2022,"Qiongjie, W.",Effects of biofilm on metal adsorption behavior and microbial community of microplastics,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.127340,"Qiongjie, W.; Yong, Z.; Yangyang, Z.; Zhouqi, L.; Jinxiaoxue, W.; Huijuan, C."
"(Qiu et al., 2022)",25,2022,"Qiu, Y.",Sulfide modifies physicochemical properties and mercury adsorption of microplastics,Science of the Total Environment,10.1016/j.scitotenv.2022.157802,"Qiu, Y.; Zhang, Z.; Zhang, T.; Zhang, P."
"(Saravanakumar et al., 2024)",24,2024,"Saravanakumar, K.",Insights Into the Adsorption Behavior of Polyethylene Microplastics Towards Lead(II) Ions,Environmental Quality Management,10.1002/tqem.22355,"Saravanakumar, K.; Sathyamoorthy, M.; Prasad, D. M. R.; Prasad, B. S. N.; Senthilkumar, R.; Lakshmanarao, G."
"(Sathyamoorthy et al., 2022)",23,2022,"Sathyamoorthy, M.",The potential of polyethylene microplastics to transport copper in aquatic systems: Adsorption and desorption studies,Water Environment Research,10.1002/wer.10809,"Sathyamoorthy, M.; Senthilkumar, R.; Saravanakumar, K.; Reddy Prasad, D. M.; Naveen Prasad, B. S."
"(Sun et al., 2022)",20,2022,"Sun, Y.",Cu(II) adsorption on Poly(Lactic Acid) Microplastics: Significance of microbial colonization and degradation,Chemical Engineering Journal,10.1016/j.cej.2021.132306,"Sun, Y.; Wang, X.; Xia, S.; Zhao, J."
"(Sun et al., 2023)",21,2023,"Sun, Y.",Evaluating the adsorption and desorption performance of poly(butylene adipate-co-terephthalate) (PBAT) microplastics towards Cu(II): The roles of biofilms and biodegradation,Chemical Engineering Journal,10.1016/j.cej.2023.142714,"Sun, Y.; Peng, B. Y.; Wang, Y.; Wang, X.; Xia, S.; Zhao, J."
"(Tang et al., 2022)",18,2022,"Tang, S.","Adsorption mechanisms of metal ions (Pb, Cd, Cu) onto polyamide 6 microplastics: New insight into environmental risks in comparison with natural media in different water matrices",Gondwana Research,10.1016/j.gr.2022.06.017,"Tang, S.; Yang, X.; Zhang, T.; Qin, Y.; Cao, C.; Shi, H.; Zhao, Y."
(Tang_Lin 2020),19,2020,"Tang, S.",Pb(II) uptake onto nylon microplastics: Interaction mechanism and adsorption performance,Journal of Hazardous Materials,10.1016/j.jhazmat.2019.121960,"Tang, S.; Lin, L.; Wang, X.; Feng, A.; Yu, A."
"(Wang et al., 2019)",16,2019,"Wang, F.",Adsorption characteristics of cadmium onto microplastics from aqueous solutions,Chemosphere,10.1016/j.chemosphere.2019.06.196,"Wang, F.; Yang, W.; Cheng, P.; Zhang, S.; Zhang, S.; Jiao, W.; Sun, Y."
"(Wang et al., 2020)",13,2020,"Wang, Q.",The adsorption behavior of metals in aqueous solution by microplastics effected by UV radiation,Journal of Environmental Sciences (China),10.1016/j.jes.2019.07.006,"Wang, Q.; Zhang, Y.; Wangjin, X.; Wang, Y.; Meng, G.; Chen, Y."
"(Wang et al., 2021)",12,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,10.1016/j.cej.2020.126412,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J."
"(Wang et al., 2023)",14,2023,"Wang, Q.",Effects of humic acids on the adsorption of Pb(II) ions onto biofilm-developed microplastics in aqueous ecosystems,Science of the Total Environment,10.1016/j.scitotenv.2023.163466,"Wang, Q.; Zhang, Y.; Chen, H.; Chen, S.; Wang, Y."
(Wang_Qui 2022),15,2022,"Wang, H.",Adsorption of tetracycline and Cd(II) on polystyrene and polyethylene terephthalate microplastics with ultraviolet and hydrogen peroxide aging treatment,Science of the Total Environment,10.1016/j.scitotenv.2022.157109,"Wang, H.; Qiu, C.; Song, Y.; Bian, S.; Wang, Q.; Chen, Y.; Fang, C."
(Wang_Wang 2022),17,2022,"Wang, B.",Sorption behavior of Pb(II) onto polyvinyl chloride microplastics affects the formation and ecological functions of microbial biofilms,Science of the Total Environment,10.1016/j.scitotenv.2022.155026,"Wang, B.; Wang, C.; Hu, Y."
(Wang_wang 2020),11,2020,"Wang, Y.",Biofilm alters tetracycline and copper adsorption behaviors onto polyethylene microplastics,Chemical Engineering Journal,10.1016/j.cej.2019.123808,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Wang, F.; Xia, S.; Zhao, J."
"(Xue et al., 2021)",10,2021,"Xue, X. D.",Adsorption behaviors of the pristine and aged thermoplastic polyurethane microplastics in Cu(II)-OTC coexisting system,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.124835,"Xue, X. D.; Fang, C. R.; Zhuang, H. F."
"(Yang et al., 2019)",9,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,10.1007/s11356-019-05643-8,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D."
"(Yu et al., 2021)",8,2021,"Yu, A.",Adsorption mechanism of cadmium on polystyrene microplastics containing hexabromocyclododecane,Environmental Technology and Innovation,10.1016/j.eti.2021.102036,"Yu, A.; Sun, X.; Tang, S.; Zhang, Y.; Li, M.; Wang, X."
"(Yu et al., 2023)",7,2023,"Yu, Y.",Aging of polylactic acid microplastics during hydrothermal treatment of sewage sludge and its effects on heavy metals adsorption,Environmental Research,10.1016/j.envres.2022.114532,"Yu, Y.; Ding, Y.; Zhou, C.; Ge, S."
"(Zhao et al., 2022)",4,2022,"Zhao, H.",Adsorption behavior of aged polybutylece terephthalate microplastics coexisting with Cd(II)-tetracycline,Chemosphere,10.1016/j.chemosphere.2022.134789,"Zhao, H.; Li, P.; Su, F.; He, X.; Elumalai, V."
(Zhou_Sun 2022),2,2022,"Zhou, Z.",Adsorption behavior of Cu(II) and Cr(VI) on aged microplastics in antibiotics-heavy metals coexisting system,Chemosphere,10.1016/j.chemosphere.2021.132794,"Zhou, Z.; Sun, Y.; Wang, Y.; Yu, F.; Ma, J."
(Zhou_chen 2022),3,2022,"Zhou, J.",Changes in metal adsorption ability of microplastics upon loss of calcium carbonate filler masterbatch through natural aging,Science of the Total Environment,10.1016/j.scitotenv.2022.155142,"Zhou, J.; Chen, H.; Guo, Y.; Chen, Q.; Ren, H.; Tao, Y."
