variant,prior_scale,likelihood,cache_status,auto_retry_triggered,convergence_pass,delta_pooled_mean,delta_pooled_hdi_width,delta_elpd_loo,delta_elpd_loo_se,delta_beta_metal[Cd (II)_vs_As (III)]_mean,delta_beta_metal[Cd (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Cd (II)_vs_As (III)],contains_zero_changed_beta_metal[Cd (II)_vs_As (III)],delta_beta_metal[Cr (VI)_vs_As (III)]_mean,delta_beta_metal[Cr (VI)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Cr (VI)_vs_As (III)],contains_zero_changed_beta_metal[Cr (VI)_vs_As (III)],delta_beta_metal[Cu (II)_vs_As (III)]_mean,delta_beta_metal[Cu (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Cu (II)_vs_As (III)],contains_zero_changed_beta_metal[Cu (II)_vs_As (III)],delta_beta_metal[Hg (II)_vs_As (III)]_mean,delta_beta_metal[Hg (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Hg (II)_vs_As (III)],contains_zero_changed_beta_metal[Hg (II)_vs_As (III)],delta_beta_metal[Mn (II)_vs_As (III)]_mean,delta_beta_metal[Mn (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Mn (II)_vs_As (III)],contains_zero_changed_beta_metal[Mn (II)_vs_As (III)],delta_beta_metal[Ni (II)_vs_As (III)]_mean,delta_beta_metal[Ni (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Ni (II)_vs_As (III)],contains_zero_changed_beta_metal[Ni (II)_vs_As (III)],delta_beta_metal[Pb (II)_vs_As (III)]_mean,delta_beta_metal[Pb (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Pb (II)_vs_As (III)],contains_zero_changed_beta_metal[Pb (II)_vs_As (III)],delta_beta_metal[Zn (II)_vs_As (III)]_mean,delta_beta_metal[Zn (II)_vs_As (III)]_hdi_width,sign_changed_beta_metal[Zn (II)_vs_As (III)],contains_zero_changed_beta_metal[Zn (II)_vs_As (III)],delta_beta_polymer[Mix_vs_HDPE]_mean,delta_beta_polymer[Mix_vs_HDPE]_hdi_width,sign_changed_beta_polymer[Mix_vs_HDPE],contains_zero_changed_beta_polymer[Mix_vs_HDPE],delta_beta_polymer[PA_vs_HDPE]_mean,delta_beta_polymer[PA_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PA_vs_HDPE],contains_zero_changed_beta_polymer[PA_vs_HDPE],delta_beta_polymer[PBAT_vs_HDPE]_mean,delta_beta_polymer[PBAT_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PBAT_vs_HDPE],contains_zero_changed_beta_polymer[PBAT_vs_HDPE],delta_beta_polymer[PBS_vs_HDPE]_mean,delta_beta_polymer[PBS_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PBS_vs_HDPE],contains_zero_changed_beta_polymer[PBS_vs_HDPE],delta_beta_polymer[PBT_vs_HDPE]_mean,delta_beta_polymer[PBT_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PBT_vs_HDPE],contains_zero_changed_beta_polymer[PBT_vs_HDPE],delta_beta_polymer[PE_vs_HDPE]_mean,delta_beta_polymer[PE_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PE_vs_HDPE],contains_zero_changed_beta_polymer[PE_vs_HDPE],delta_beta_polymer[PET_vs_HDPE]_mean,delta_beta_polymer[PET_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PET_vs_HDPE],contains_zero_changed_beta_polymer[PET_vs_HDPE],delta_beta_polymer[PLA_vs_HDPE]_mean,delta_beta_polymer[PLA_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PLA_vs_HDPE],contains_zero_changed_beta_polymer[PLA_vs_HDPE],delta_beta_polymer[PMMA_vs_HDPE]_mean,delta_beta_polymer[PMMA_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PMMA_vs_HDPE],contains_zero_changed_beta_polymer[PMMA_vs_HDPE],delta_beta_polymer[PP_vs_HDPE]_mean,delta_beta_polymer[PP_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PP_vs_HDPE],contains_zero_changed_beta_polymer[PP_vs_HDPE],delta_beta_polymer[PS_vs_HDPE]_mean,delta_beta_polymer[PS_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PS_vs_HDPE],contains_zero_changed_beta_polymer[PS_vs_HDPE],delta_beta_polymer[PVC_vs_HDPE]_mean,delta_beta_polymer[PVC_vs_HDPE]_hdi_width,sign_changed_beta_polymer[PVC_vs_HDPE],contains_zero_changed_beta_polymer[PVC_vs_HDPE],delta_beta_polymer[TPU_vs_HDPE]_mean,delta_beta_polymer[TPU_vs_HDPE]_hdi_width,sign_changed_beta_polymer[TPU_vs_HDPE],contains_zero_changed_beta_polymer[TPU_vs_HDPE],delta_beta_polymer[nylon_vs_HDPE]_mean,delta_beta_polymer[nylon_vs_HDPE]_hdi_width,sign_changed_beta_polymer[nylon_vs_HDPE],contains_zero_changed_beta_polymer[nylon_vs_HDPE],delta_beta_aging[Virgin_vs_Aged]_mean,delta_beta_aging[Virgin_vs_Aged]_hdi_width,sign_changed_beta_aging[Virgin_vs_Aged],contains_zero_changed_beta_aging[Virgin_vs_Aged],delta_beta_Temp_mean,delta_beta_Temp_hdi_width,sign_changed_beta_Temp,contains_zero_changed_beta_Temp,delta_sigma_study_mean,delta_sigma_study_hdi_width,sign_changed_sigma_study,contains_zero_changed_sigma_study,delta_sigma_residual_mean,delta_sigma_residual_hdi_width,sign_changed_sigma_residual,contains_zero_changed_sigma_residual,any_sign_change,any_zero_overlap_change
stronger_regularization,0.5,normal,hit,False,True,0.0010274485185570725,-0.0005109651611761024,0.14786766501669035,22.046176757671077,0.14434451794175704,-0.6381134501275421,True,False,0.2138214483019601,-0.5714621920566803,False,False,0.1478247471855887,-0.707670524574646,True,False,1.3118687461723368,-0.9910609078158839,False,False,-0.044769229224493126,-2.0230621761324254,False,False,0.139838960245951,-0.6894312811467531,False,False,0.14289843545365288,-0.6968559839474062,False,False,0.14377811086088432,-0.6877364061652929,True,False,-0.4874236929055751,-0.8903394953200912,False,False,-0.1868436459793119,-0.9576334257908687,False,True,-0.14861057190621235,-1.368631717050354,False,False,-0.1571112091146963,-1.4592029203880488,False,False,-0.6769276175162123,-1.949496304418493,False,False,-0.16388798159425455,-0.9433350628629242,False,True,-0.1403413551263591,-0.9262090997554433,False,False,-0.19059629471953354,-0.929737848659816,False,True,-0.18695478243505628,-0.7818318017846284,False,False,-0.1541360082422371,-0.9561000941244631,False,False,-0.15241829348859398,-0.9554595195733959,False,False,-0.15287048898613328,-0.903478728469338,False,False,-0.06513081515633151,-1.923555198126861,True,False,0.08832129129232116,-1.9677531881002963,False,False,-0.0025454152639790006,-0.008258773863500657,False,False,0.0008364394274313902,-0.00033862287702249305,False,False,0.027911700251644023,0.013533300500571555,False,False,0.0006200833990697152,-0.0008082327120335631,False,False,True,True
weaker_regularization,2.0,normal,hit,True,True,0.0009159390956794411,0.00048584359667014354,-1.8667128279070084,22.095206459972225,-0.24569785048006204,0.5267369552121117,False,False,-0.2526701944651495,0.49796578114221424,False,False,-0.25305174609245784,0.5665234460026727,False,False,-0.8813955482406879,0.7243257417878741,False,False,-0.1670527708701013,1.700544350024578,True,False,-0.25425578922570924,0.5295337084662326,False,False,-0.2485920820997706,0.5605106013602397,False,False,-0.2466503233945964,0.5214241884263431,False,False,0.7371956973103126,1.137973868978591,False,True,0.6267416254954729,1.3871165601485331,False,False,0.602658694892233,1.4161667373333522,False,False,0.5224711979344858,1.30001377583811,False,False,1.0345420715253677,1.808199926327691,False,False,0.6159394426739648,1.42516346675668,True,False,0.6158046634930845,1.3954727821889268,True,False,0.6300804562251926,1.4016222499462359,False,False,0.625299744077278,1.275839477986659,False,False,0.6182437744716847,1.39259642340367,True,False,0.6192190530994328,1.4184493781663994,True,False,0.6148022107631016,1.414783109066243,True,False,0.530204111302703,1.8564799275230701,False,False,0.4374121186301345,1.81900082893163,True,False,-0.0004808576678477783,0.000386513328165361,False,False,0.0001637446924308006,0.004148685803311153,False,False,-0.00482585096488819,0.024861174220345728,False,False,0.0008767377992008329,0.0004327286464450575,False,False,True,True
robust_student_t,1.0,student_t,hit,False,True,0.005755173478027231,0.009152144286266761,-0.5044978563328186,23.54068141313557,0.04574917056295856,-0.14645325343468008,True,False,-0.06958090590105193,-0.2064274528866612,False,False,0.03294709160825332,-0.15062905822981176,True,False,0.05994511695841842,0.16226640658045444,False,False,-0.013264000049434399,0.05675228435450652,False,False,0.08583486895430781,-0.19262666828556663,False,False,-0.012590061620014803,-0.12958744886949547,False,False,0.046299759129604705,-0.18635929392268258,False,False,0.004457647317064328,-0.07855125755393466,False,False,-0.16689938756619205,0.059637580980421045,False,False,0.11579237913335189,0.14431626416540944,False,False,0.013169765261643485,0.010164091047695223,False,False,-0.071009773362394,-0.03542358391646783,False,False,-0.009553359883582191,-0.010641630725283235,False,False,0.15142908081847725,-0.060140097664346914,False,False,-0.3161972634706478,0.12289098661440301,False,False,0.49056091926600753,0.11991821602132502,False,False,-0.007721817302447198,-0.03225917933994493,False,False,0.01951104615675464,-0.035694024934809665,False,False,-0.09410907677789024,-0.013323457741473366,False,False,-0.06227536622961967,0.24487252132700554,True,False,0.012346465717249566,0.005364762149937974,False,False,0.056503168122266856,-0.025245693002924008,False,False,0.002124894848268402,-0.02308676732953799,False,False,0.050096218601881404,-1.7432764110036914e-06,False,False,-0.17210226807213924,0.10747094230885618,False,False,True,False
